"","code","family","genus","specificEpithet","life_form","scientificName","scientificName2","scientifiNameV"
"226","Eugesp4","Myrtaceae","Eugenia","sp4","tree","Eugenia sp4","Eugenia sp","Eugenia"
"227","Eugesp5","Myrtaceae","Eugenia","sp5","treelet","Eugenia sp5","Eugenia sp","Eugenia"
"228","Eugevene","Myrtaceae","Eugenia","venezuelensis","shrub","Eugenia venezuelensis","Eugenia venezuelensis","Eugenia venezuelensis"
"229","Euphcoti","Euphorbiaceae","Euphorbia","cotinifolia","treelet","Euphorbia cotinifolia","Euphorbia cotinifolia","Euphorbia cotinifolia"
"230","Ficuamer","Moraceae","Ficus","americana","tree","Ficus americana","Ficus americana","Ficus americana"
"231","Ficuobtu","Moraceae","Ficus","obtusifolia","tree","Ficus obtusifolia","Ficus obtusifolia","Ficus obtusifolia"
"232","Ficusp","Moraceae","Ficus","sp","tree","Ficus sp","Ficus sp","Ficus"
"233","Ficutrig","Moraceae","Ficus","trigona","tree","Ficus trigona","Ficus trigona","Ficus trigona"
"234","Ficuzarz","Moraceae","Ficus","zarzalensis","tree","Ficus zarzalensis","Ficus zarzalensis","Ficus zarzalensis"
"235","Forsaffi","Apocynaceae","Forsteronia","affinis","liana","Forsteronia affinis","Forsteronia affinis","Forsteronia affinis"
"236","Forssp1","Apocynaceae","Forsteronia","sp1","liana","Forsteronia sp1","Forsteronia sp","Forsteronia"
"237","Forsspic","Apocynaceae","Forsteronia","spicata","liana","Forsteronia spicata","Forsteronia spicata","Forsteronia spicata"
"238","Fridmoll","Bignoniaceae","Fridericia","mollissima","liana","Fridericia mollissima","Fridericia mollissima","Fridericia mollissima"
"239","Fridpube","Bignoniaceae","Fridericia","pubescens","liana","Fridericia pubescens","Fridericia pubescens","Fridericia pubescens"
"240","Fridsp","Bignoniaceae","Fridericia","sp","liana","Fridericia sp","Fridericia sp","Fridericia"
"241","Galisp","Rutaceae","Galipea","sp","tree","Galipea sp","Galipea sp","Galipea"
"242","Garcinte","Clusiaceae","Garcinia","intermedia","tree","Garcinia intermedia","Garcinia intermedia","Garcinia intermedia"
"243","Garcmadr","Clusiaceae","Garcinia","madruno","tree","Garcinia madruno","Garcinia madruno","Garcinia madruno"
"244","Geniamer","Rubiaceae","Genipa","americana","tree","Genipa americana","Genipa americana","Genipa americana"
"245","Glirsepi","Fabaceae","Gliricidia","sepium","tree","Gliricidia sepium","Gliricidia sepium","Gliricidia sepium"
"246","Godmaesc","Bignoniaceae","Godmania","aesculifolia","tree","Godmania aesculifolia","Godmania aesculifolia","Godmania aesculifolia"
"247","Grafrotu","Melastomataceae","Graffenrieda","rotundifolia","shrub","Graffenrieda rotundifolia","Graffenrieda rotundifolia","Graffenrieda rotundifolia"
"248","Guapcost","Nyctaginaceae","Guapira","costaricana","tree","Guapira costaricana","Guapira costaricana","Guapira costaricana"
"249","Guappube","Nyctaginaceae","Guapira","pubescens","tree","Guapira pubescens","Guapira pubescens","Guapira pubescens"
"250","Guapsp","Nyctaginaceae","Guapira","sp","tree","Guapira sp","Guapira sp","Guapira"
"251","Guapsp1","Nyctaginaceae","Guapira","sp1","treelet","Guapira sp1","Guapira sp","Guapira"
"252","Guapuber","Nyctaginaceae","Guapira","uberrima","tree","Guapira uberrima","Guapira uberrima","Guapira uberrima"
"253","Guarglab","Meliaceae","Guarea","glabra","tree","Guarea glabra","Guarea glabra","Guarea glabra"
"254","Guarguid","Meliaceae","Guarea","guidonia","tree","Guarea guidonia","Guarea guidonia","Guarea guidonia"
"255","Guarsp1","Meliaceae","Guarea","sp1","tree","Guarea sp1","Guarea sp","Guarea"
"256","Guatmete","Annonaceae","Guatteria","metensis","tree","Guatteria metensis","Guatteria metensis","Guatteria metensis"
"257","Guatpilo","Annonaceae","Guatteria","pilosula","tree","Guatteria pilosula","Guatteria pilosula","Guatteria pilosula"
"258","Guazulmi","Malvaceae","Guazuma","ulmifolia","tree","Guazuma ulmifolia","Guazuma ulmifolia","Guazuma ulmifolia"
"259","Guetcoma","Rubiaceae","Guettarda","comata","tree","Guettarda comata","Guettarda comata","Guettarda comata"
"260","Guetroup","Rubiaceae","Guettarda","roupalifolia","tree","Guettarda roupalifolia","Guettarda roupalifolia","Guettarda roupalifolia"
"261","Gustaugu","Lecythidaceae","Gustavia","augusta","tree","Gustavia augusta","Gustavia augusta","Gustavia augusta"
"262","Gusthexa","Lecythidaceae","Gustavia","hexapetala","tree","Gustavia hexapetala","Gustavia hexapetala","Gustavia hexapetala"
"263","Gustsp","Lecythidaceae","Gustavia","sp","tree","Gustavia sp","Gustavia sp","Gustavia"
"264","Gustsupe","Lecythidaceae","Gustavia","superba","tree","Gustavia superba","Gustavia superba","Gustavia superba"
"265","Gyroamer","Hernandiaceae","Gyrocarpus","americanus","tree","Gyrocarpus americanus","Gyrocarpus americanus","Gyrocarpus americanus"
"266","Haembras","Fabaceae","Haematoxylum","brasiletto","treelet","Haematoxylum brasiletto","Haematoxylum brasiletto","Haematoxylum brasiletto"
"267","Hampthes","Malvaceae","Hampea","thespesioides","tree","Hampea thespesioides","Hampea thespesioides","Hampea thespesioides"
"268","Handbarb","Bignoniaceae","Handroanthus","barbatus","tree","Handroanthus barbatus","Handroanthus barbatus","Handroanthus barbatus"
"269","Handbill","Bignoniaceae","Handroanthus","billbergii","tree","Handroanthus billbergii","Handroanthus billbergii","Handroanthus billbergii"
"270","Handchry","Bignoniaceae","Handroanthus","chrysanthus","tree","Handroanthus chrysanthus","Handroanthus chrysanthus","Handroanthus chrysanthus"
"271","Handochr","Bignoniaceae","Handroanthus","ochraceus","tree","Handroanthus ochraceus","Handroanthus ochraceus","Handroanthus ochraceus"
"272","Heisacum","Olacaceae","Heisteria","acuminata","tree","Heisteria acuminata","Heisteria acuminata","Heisteria acuminata"
"273","Heissp","Olacaceae","Heisteria","sp","tree","Heisteria sp","Heisteria sp","Heisteria"
"274","Helispru","Moraceae","Helianthostylis","sprucei","tree","Helianthostylis sprucei","Helianthostylis sprucei","Helianthostylis sprucei"
"275","Herrlaci","Malvaceae","Herrania","laciniifolia","shrub","Herrania laciniifolia","Herrania laciniifolia","Herrania laciniifolia"
"276","Himaarti","Apocynaceae","Himatanthus","articulatus","tree","Himatanthus articulatus","Himatanthus articulatus","Himatanthus articulatus"
"277","Hippsp","Celastraceae","Hippocratea","sp","liana","Hippocratea sp","Hippocratea sp","Hippocratea"
"278","Hippvolu","Celastraceae","Hippocratea","volubilis","liana","Hippocratea volubilis","Hippocratea volubilis","Hippocratea volubilis"
"279","Hirarecl","Malpighiaceae","Hiraea","reclinata","shrub","Hiraea reclinata","Hiraea reclinata","Hiraea reclinata"
"280","Hirasp","Malpighiaceae","Hiraea","sp","liana","Hiraea sp","Hiraea sp","Hiraea"
"281","Hirtamer","Chrysobalanaceae","Hirtella","americana","tree","Hirtella americana","Hirtella americana","Hirtella americana"
"282","Hirtrace","Chrysobalanaceae","Hirtella","racemosa","tree","Hirtella racemosa","Hirtella racemosa","Hirtella racemosa"
"283","Humbarbo","Fabaceae","Humboldtiella","arborea","tree","Humboldtiella arborea","Humboldtiella arborea","Humboldtiella arborea"
"284","Huracrep","Euphorbiaceae","Hura","crepitans","tree","Hura crepitans","Hura crepitans","Hura crepitans"
"285","Hymecour","Fabaceae","Hymenaea","courbaril","tree","Hymenaea courbaril","Hymenaea courbaril","Hymenaea courbaril"
"286","Ingafast","Fabaceae","Inga","fastuosa","tree","Inga fastuosa","Inga fastuosa","Inga fastuosa"
"287","Ingagrac","Fabaceae","Inga","gracilifolia","tree","Inga gracilifolia","Inga gracilifolia","Inga gracilifolia"
"288","Ingalaur","Fabaceae","Inga","laurina","tree","Inga laurina","Inga laurina","Inga laurina"
"289","Ingaleio","Fabaceae","Inga","leiocalycina","tree","Inga leiocalycina","Inga leiocalycina","Inga leiocalycina"
"290","Ingamarg","Fabaceae","Inga","marginata","tree","Inga marginata","Inga marginata","Inga marginata"
"291","Ingaoers","Fabaceae","Inga","oerstediana","tree","Inga oerstediana","Inga oerstediana","Inga oerstediana"
"292","Ingaseto","Fabaceae","Inga","setosa","tree","Inga setosa","Inga setosa","Inga setosa"
"293","Ingasp","Fabaceae","Inga","sp","tree","Inga sp","Inga sp","Inga"
"294","Ingasp1","Fabaceae","Inga","sp1","tree","Inga sp1","Inga sp","Inga"
"295","Ingasp2","Fabaceae","Inga","sp2","tree","Inga sp2","Inga sp","Inga"
"296","Ingasp3","Fabaceae","Inga","sp3","tree","Inga sp3","Inga sp","Inga"
"297","Ingasp4","Fabaceae","Inga","sp4","tree","Inga sp4","Inga sp","Inga"
"298","Ingasp6","Fabaceae","Inga","sp6","tree","Inga sp6","Inga sp","Inga"
"299","Ingavera","Fabaceae","Inga","vera","tree","Inga vera","Inga vera","Inga vera"
"300","Ipomcarn","Convolvulaceae","Ipomoea","carnea","liana","Ipomoea carnea","Ipomoea carnea","Ipomoea carnea"
"301","Ipomsp","Convolvulaceae","Ipomoea","sp","liana","Ipomoea sp","Ipomoea sp","Ipomoea"
"302","Iressp","Amaranthaceae","Iresine","sp","liana","Iresine sp","Iresine sp","Iresine"
"303","Ixorsp","Rubiaceae","Ixora","sp","tree","Ixora sp","Ixora sp","Ixora"
"304","Jacacauc","Bignoniaceae","Jacaranda","caucana","tree","Jacaranda caucana","Jacaranda caucana","Jacaranda caucana"
"305","Jacaobtu","Bignoniaceae","Jacaranda","obtusifolia","tree","Jacaranda obtusifolia","Jacaranda obtusifolia","Jacaranda obtusifolia"
"306","Jacqarmi","Primulaceae","Jacquinia","armillaris","shrub","Jacquinia armillaris","Jacquinia armillaris","Jacquinia armillaris"
"307","Jacqfrut","Primulaceae","Jacquinia","frutescens","shrub","Jacquinia frutescens","Jacquinia frutescens","Jacquinia frutescens"
"308","Jatrgoss","Euphorbiaceae","Jatropha","gossypiifolia","shrub","Jatropha gossypiifolia","Jatropha gossypiifolia","Jatropha gossypiifolia"
"309","Laciaggr","Lacistemataceae","Lacistema","aggregatum","tree","Lacistema aggregatum","Lacistema aggregatum","Lacistema aggregatum"
"310","Ladesp","Rubiaceae","Ladenbergia","sp","tree","Ladenbergia sp","Ladenbergia sp","Ladenbergia"
"311","Laetsp","Salicaceae","Laetia","sp","tree","Laetia sp","Laetia sp","Laetia"
"312","Lantcama","Verbenaceae","Lantana","camara","forb","Lantana camara","Lantana camara","Lantana camara"
"313","Lecychar","Lecythidaceae","Lecythis","chartacea","tree","Lecythis chartacea","Lecythis chartacea","Lecythis chartacea"
"314","Lecymino","Lecythidaceae","Lecythis","minor","tree","Lecythis minor","Lecythis minor","Lecythis minor"
"315","Leonsp1","Violaceae","Leonia","sp1","tree","Leonia sp1","Leonia sp","Leonia"
"316","Leucleuc","Fabaceae","Leucaena","leucocephala","tree","Leucaena leucocephala","Leucaena leucocephala","Leucaena leucocephala"
"317","Licaapet","Chrysobalanaceae","Licania","apetala","tree","Licania apetala","Licania apetala","Licania apetala"
"318","Licaappl","Lauraceae","Licaria","applanata","tree","Licaria applanata","Licaria applanata","Licaria applanata"
"319","Licaguia","Lauraceae","Licaria","guianensis","tree","Licaria guianensis","Licaria guianensis","Licaria guianensis"
"320","Licamicr","Chrysobalanaceae","Licania","micrantha","tree","Licania micrantha","Licania micrantha","Licania micrantha"
"321","Licaparv","Chrysobalanaceae","Licania","parvifructa","tree","Licania parvifructa","Licania parvifructa","Licania parvifructa"
"322","Licasp","Chrysobalanaceae","Licania","sp","tree","Licania sp","Licania sp","Licania"
"323","Licasp1","Chrysobalanaceae","Licania","sp1","tree","Licania sp1","Licania sp","Licania"
"324","Licasp2","Chrysobalanaceae","Licania","sp2","tree","Licania sp2","Licania sp","Licania"
"325","Lindpalu","Achariaceae","Lindackeria","paludosa","tree","Lindackeria paludosa","Lindackeria paludosa","Lindackeria paludosa"
"326","Lipporig","Verbenaceae","Lippia","origanoides","tree","Lippia origanoides","Lippia origanoides","Lippia origanoides"
"327","Loncmacr","Fabaceae","Lonchocarpus","macrophyllus","tree","Lonchocarpus macrophyllus","Lonchocarpus macrophyllus","Lonchocarpus macrophyllus"
"328","Loncpict","Fabaceae","Lonchocarpus","pictus","tree","Lonchocarpus pictus","Lonchocarpus pictus","Lonchocarpus pictus"
"329","Loncsanc","Fabaceae","Lonchocarpus","sanctae-marthae","tree","Lonchocarpus sanctae-marthae","Lonchocarpus sanctae-marthae","Lonchocarpus sanctae-marthae"
"330","Loncviol","Fabaceae","Lonchocarpus","violaceus","tree","Lonchocarpus violaceus","Lonchocarpus violaceus","Lonchocarpus violaceus"
"331","Luehseem","Malvaceae","Luehea","seemannii","tree","Luehea seemannii","Luehea seemannii","Luehea seemannii"
"332","Luetandi","Fabaceae","Luetzelburgia","andina","tree","Luetzelburgia andina","Luetzelburgia andina","Luetzelburgia andina"
"333","Lycisp","Solanaceae","Lycianthes","sp","shrub","Lycianthes sp","Lycianthes sp","Lycianthes"
"334","Lycomexi","Asteraceae","Lycoseris","mexicana","liana","Lycoseris mexicana","Lycoseris mexicana","Lycoseris mexicana"
"335","Mabeniti","Euphorbiaceae","Mabea","nitida","tree","Mabea nitida","Mabea nitida","Mabea nitida"
"336","Mabetria","Euphorbiaceae","Mabea","trianae","tree","Mabea trianae","Mabea trianae","Mabea trianae"
"337","Macharbo","Fabaceae","Machaerium","arboreum","tree","Machaerium arboreum","Machaerium arboreum","Machaerium arboreum"
"338","Machbiov","Fabaceae","Machaerium","biovulatum","tree","Machaerium biovulatum","Machaerium biovulatum","Machaerium biovulatum"
"339","Machcapo","Fabaceae","Machaerium","capote","tree","Machaerium capote","Machaerium capote","Machaerium capote"
"340","Machkege","Fabaceae","Machaerium","kegelii","liana","Machaerium kegelii","Machaerium kegelii","Machaerium kegelii"
"341","Machmicr","Fabaceae","Machaerium","microphyllum","liana","Machaerium microphyllum","Machaerium microphyllum","Machaerium microphyllum"
"342","Machmuti","Fabaceae","Machaerium","mutisii","liana","Machaerium mutisii","Machaerium mutisii","Machaerium mutisii"
"343","Machsp","Fabaceae","Machaerium","sp","liana","Machaerium sp","Machaerium sp","Machaerium"
"344","Machsp1","Fabaceae","Machaerium","sp1","tree","Machaerium sp1","Machaerium sp","Machaerium"
"345","Machsp2","Fabaceae","Machaerium","sp2","liana","Machaerium sp2","Machaerium sp","Machaerium"
"346","Machsp3","Fabaceae","Machaerium","sp3","liana","Machaerium sp3","Machaerium sp","Machaerium"
"347","Machsp6","Fabaceae","Machaerium","sp6","tree","Machaerium sp6","Machaerium sp","Machaerium"
"348","Macltinc","Moraceae","Maclura","tinctoria","tree","Maclura tinctoria","Maclura tinctoria","Maclura tinctoria"
"349","Malmsp","Annonaceae","Malmea","sp","tree","Malmea sp","Malmea sp","Malmea"
"350","Malpglab","Malpighiaceae","Malpighia","glabra","tree","Malpighia glabra","Malpighia glabra","Malpighia glabra"
"351","Mandsp","Apocynaceae","Mandevilla","sp","liana","Mandevilla sp","Mandevilla sp","Mandevilla"
"352","Mangindi","Anacardiaceae","Mangifera","indica","tree","Mangifera indica","Mangifera indica","Mangifera indica"
"353","Manicart","Euphorbiaceae","Manihot","carthaginensis","tree","Manihot carthaginensis","Manihot carthaginensis","Manihot carthaginensis"
"354","Manisp","Sapotaceae","Manilkara","sp","tree","Manilkara sp","Manilkara sp","Manilkara"
"355","Maprguia","Euphorbiaceae","Maprounea","guianensis","tree","Maprounea guianensis","Maprounea guianensis","Maprounea guianensis"
"356","Margnobi","Phyllanthaceae","Margaritaria","nobilis","treelet","Margaritaria nobilis","Margaritaria nobilis","Margaritaria nobilis"
"357","Marssp","Apocynaceae","Marsdenia","sp","liana","Marsdenia sp","Marsdenia sp","Marsdenia"
"358","Matapurg","Sapindaceae","Matayba","purgans","tree","Matayba purgans","Matayba purgans","Matayba purgans"
"359","Matasp","Sapindaceae","Matayba","sp","tree","Matayba sp","Matayba sp","Matayba"
"360","Matasp1","Sapindaceae","Matayba","sp1","tree","Matayba sp1","Matayba sp","Matayba"
"361","Mayngran","Achariaceae","Mayna","grandifolia","tree","Mayna grandifolia","Mayna grandifolia","Mayna grandifolia"
"362","Maynodor","Achariaceae","Mayna","odorata","tree","Mayna odorata","Mayna odorata","Mayna odorata"
"363","Melibiju","Sapindaceae","Melicoccus","bijugatus","tree","Melicoccus bijugatus","Melicoccus bijugatus","Melicoccus bijugatus"
"364","Melioliv","Sapindaceae","Melicoccus","oliviformis","tree","Melicoccus oliviformis","Melicoccus oliviformis","Melicoccus oliviformis"
"365","Mendtova","Acanthaceae","Mendoncia","tovarensis","liana","Mendoncia tovarensis","Mendoncia tovarensis","Mendoncia tovarensis"
"366","Micoelat","Melastomataceae","Miconia","elata","tree","Miconia elata","Miconia elata","Miconia elata"
"367","Micomult","Melastomataceae","Miconia","multispicata","tree","Miconia multispicata","Miconia multispicata","Miconia multispicata"
"368","Micosp1","Melastomataceae","Miconia","sp1","shrub","Miconia sp1","Miconia sp","Miconia"
"369","Micosple","Melastomataceae","Miconia","splendens","shrub","Miconia splendens","Miconia splendens","Miconia splendens"
"370","Morfsp1","Myrtaceae","Morf","sp1","shrub","Morf sp1","Morf sp",NA
"371","Morfsp10","Primulaceae","Morf","sp10","shrub","Morf sp10","Morf sp",NA
"372","Morfsp11","Rubiaceae","Morf","sp11","liana","Morf sp11","Morf sp",NA
"373","Morfsp12","Indet","Morf","sp12","liana","Morf sp12","Morf sp",NA
"374","Morfsp13","Bignoniaceae","Morf","sp13","tree","Morf sp13","Morf sp",NA
"375","Morfsp14","Indet","Morf","sp14","tree","Morf sp14","Morf sp",NA
"376","Morfsp15","Indet","Morf","sp15","liana","Morf sp15","Morf sp",NA
"377","Morfsp16","Indet","Morf","sp16","liana","Morf sp16","Morf sp",NA
"378","Morfsp17","Rubiaceae","Morf","sp17","tree","Morf sp17","Morf sp",NA
"379","Morfsp18","Indet","Morf","sp18","liana","Morf sp18","Morf sp",NA
"380","Morfsp2","Myrtaceae","Morf","sp2","tree","Morf sp2","Morf sp",NA
"381","Morfsp3","Myrtaceae","Morf","sp3","tree","Morf sp3","Morf sp",NA
"382","Morfsp31","Salicaceae","Morf","sp31","treelet","Morf sp31","Morf sp",NA
"383","Morfsp36","Bignoniaceae","Morf","sp36","liana","Morf sp36","Morf sp",NA
"384","Morfsp38","Capparaceae","Morf","sp38","liana","Morf sp38","Morf sp",NA
"385","Morfsp4","Indet","Morf","sp4","tree","Morf sp4","Morf sp",NA
"386","Morfsp40","Indet","Morf","sp40","liana","Morf sp40","Morf sp",NA
"387","Morfsp41","Apocynaceae","Morf","sp41","liana","Morf sp41","Morf sp",NA
"388","Morfsp47","Rubiaceae","Morf","sp47","tree","Morf sp47","Morf sp",NA
"389","Morfsp49","Rubiaceae","Morf","sp49","liana","Morf sp49","Morf sp",NA
"390","Morfsp5","Amaranthaceae","Morf","sp5","forb","Morf sp5","Morf sp",NA
"391","Morfsp6","Indet","Morf","sp6","treelet","Morf sp6","Morf sp",NA
"392","Morfsp7","Fabaceae","Morf","sp7","liana","Morf sp7","Morf sp",NA
"393","Morfsp8","Menispermaceae","Morf","sp8","liana","Morf sp8","Morf sp",NA
"394","Morfsp9","Malpighiaceae","Morf","sp9","liana","Morf sp9","Morf sp",NA
"395","Moriamer","Capparaceae","Morisonia","americana","tree","Morisonia americana","Morisonia americana","Morisonia americana"
"396","Morisp2","Capparaceae","Morisonia","sp2","treelet","Morisonia sp2","Morisonia sp","Morisonia"
"397","Muelbroa","Fabaceae","Muellera","broadwayi","tree","Muellera broadwayi","Muellera broadwayi","Muellera broadwayi"
"398","Myrcfall","Myrtaceae","Myrcia","fallax","tree","Myrcia fallax","Myrcia fallax","Myrcia fallax"
"399","Myrcsp1","Myrtaceae","Myrcia","sp1","tree","Myrcia sp1","Myrcia sp","Myrcia"
"400","Myrcsp2","Myrtaceae","Myrcia","sp2","tree","Myrcia sp2","Myrcia sp","Myrcia"
"401","Myrcsple","Myrtaceae","Myrcia","splendens","treelet","Myrcia splendens","Myrcia splendens","Myrcia splendens"
"402","Myrcsylv","Myrtaceae","Myrcia","sylvatica","tree","Myrcia sylvatica","Myrcia sylvatica","Myrcia sylvatica"
"403","Myristip","Urticaceae","Myriocarpa","stipitata","tree","Myriocarpa stipitata","Myriocarpa stipitata","Myriocarpa stipitata"
"404","Myrofrut","Fabaceae","Myrospermum","frutescens","tree","Myrospermum frutescens","Myrospermum frutescens","Myrospermum frutescens"
"405","Myrsguia","Primulaceae","Myrsine","guianensis","tree","Myrsine guianensis","Myrsine guianensis","Myrsine guianensis"
"406","Myrssp1","Primulaceae","Myrsine","sp1","treelet","Myrsine sp1","Myrsine sp","Myrsine"
"407","Nectcusp","Lauraceae","Nectandra","cuspidata","tree","Nectandra cuspidata","Nectandra cuspidata","Nectandra cuspidata"
"408","Nectsp","Lauraceae","Nectandra","sp","tree","Nectandra sp","Nectandra sp","Nectandra"
"409","Neeaigni","Nyctaginaceae","Neea","ignicola","tree","Neea ignicola","Neea ignicola","Neea ignicola"
"410","Neeamacr","Nyctaginaceae","Neea","macrophylla","tree","Neea macrophylla","Neea macrophylla","Neea macrophylla"
"411","Neeasp","Nyctaginaceae","Neea","sp","tree","Neea sp","Neea sp","Neea"
"412","Neeasp1","Nyctaginaceae","Neea","sp1","tree","Neea sp1","Neea sp","Neea"
"413","Neeasp2","Nyctaginaceae","Neea","sp2","tree","Neea sp2","Neea sp","Neea"
"414","Ochrpyra","Malvaceae","Ochroma","pyramidale","tree","Ochroma pyramidale","Ochroma pyramidale","Ochroma pyramidale"
"415","Ocotbofo","Lauraceae","Ocotea","bofo","tree","Ocotea bofo","Ocotea bofo","Ocotea bofo"
"416","Ocotpube","Lauraceae","Ocotea","puberula","tree","Ocotea puberula","Ocotea puberula","Ocotea puberula"
"417","Ocotscho","Lauraceae","Ocotea","schomburgkiana","tree","Ocotea schomburgkiana","Ocotea schomburgkiana","Ocotea schomburgkiana"
"418","Ocotvera","Lauraceae","Ocotea","veraguensis","tree","Ocotea veraguensis","Ocotea veraguensis","Ocotea veraguensis"
"419","Omphdian","Euphorbiaceae","Omphalea","diandra","liana","Omphalea diandra","Omphalea diandra","Omphalea diandra"
"420","Onosonos","Asteraceae","Onoseris","onoseroides","shrub","Onoseris onoseroides","Onoseris onoseroides","Onoseris onoseroides"
"421","Opunsp","Cactaceae","Opuntia","sp","cactus","Opuntia sp","Opuntia sp","Opuntia"
"422","Ourapoly","Ochnaceae","Ouratea","polyantha","tree","Ouratea polyantha","Ouratea polyantha","Ouratea polyantha"
"423","Ourasp","Ochnaceae","Ouratea","sp","tree","Ouratea sp","Ouratea sp","Ouratea"
"424","Oxanespi","Annonaceae","Oxandra","espintana","tree","Oxandra espintana","Oxandra espintana","Oxandra espintana"
"425","Oxansp","Annonaceae","Oxandra","sp","tree","Oxandra sp","Oxandra sp","Oxandra"
"426","Pachnuka","Malvaceae","Pachira","nukakica","tree","Pachira nukakica","Pachira nukakica","Pachira nukakica"
"427","Pachquin","Malvaceae","Pachira","quinata","tree","Pachira quinata","Pachira quinata","Pachira quinata"
"428","Palirigi","Rubiaceae","Palicourea","rigida","shrub","Palicourea rigida","Palicourea rigida","Palicourea rigida"
"429","Palisp","Rubiaceae","Palicourea","sp","shrub","Palicourea sp","Palicourea sp","Palicourea"
"430","Paulalat","Sapindaceae","Paullinia","alata","liana","Paullinia alata","Paullinia alata","Paullinia alata"
"431","Paulcapr","Sapindaceae","Paullinia","capreolata","liana","Paullinia capreolata","Paullinia capreolata","Paullinia capreolata"
"432","Paulcuru","Sapindaceae","Paullinia","cururu","liana","Paullinia cururu","Paullinia cururu","Paullinia cururu"
"433","Paulglob","Sapindaceae","Paullinia","globosa","liana","Paullinia globosa","Paullinia globosa","Paullinia globosa"
"434","Paulsp","Sapindaceae","Paullinia","sp","liana","Paullinia sp","Paullinia sp","Paullinia"
"435","Paulsp2","Sapindaceae","Paullinia","sp2","liana","Paullinia sp2","Paullinia sp","Paullinia"
"436","Peltpurp","Fabaceae","Peltogyne","purpurea","tree","Peltogyne purpurea","Peltogyne purpurea","Peltogyne purpurea"
"437","Peltsp","Fabaceae","Peltogyne","sp","tree","Peltogyne sp","Peltogyne sp","Peltogyne"
"438","Peraglab","Euphorbiaceae","Pera","glabrata","tree","Pera glabrata","Pera glabrata","Pera glabrata"
"439","Pereguam","Cactaceae","Pereskia","guamacho","treelet","Pereskia guamacho","Pereskia guamacho","Pereskia guamacho"
"440","Petrpube","Verbenaceae","Petrea","pubescens","tree","Petrea pubescens","Petrea pubescens","Petrea pubescens"
"441","Petrsp","Verbenaceae","Petrea","sp","tree","Petrea sp","Petrea sp","Petrea"
"442","Phanguia","Fabaceae","Phanera","guianensis","liana","Phanera guianensis","Phanera guianensis","Phanera guianensis"
"443","Phrysp1","Bignoniaceae","Phryganocydia","sp1","liana","Phryganocydia sp1","Phryganocydia sp","Phryganocydia"
"444","Phylatte","Phyllanthaceae","Phyllanthus","attenuatus","tree","Phyllanthus attenuatus","Phyllanthus attenuatus","Phyllanthus attenuatus"
"445","Phylbotr","Phyllanthaceae","Phyllanthus","botryanthus","shrub","Phyllanthus botryanthus","Phyllanthus botryanthus","Phyllanthus botryanthus"
"446","Phylrham","Ulmaceae","Phyllostylon","rhamnoides","tree","Phyllostylon rhamnoides","Phyllostylon rhamnoides","Phyllostylon rhamnoides"
"447","Picrgrac","Picramniaceae","Picramnia","gracilis","shrub","Picramnia gracilis","Picramnia gracilis","Picramnia gracilis"
"448","Pilolanu","Cactaceae","Pilosocereus","lanuginosus","cactus","Pilosocereus lanuginosus","Pilosocereus lanuginosus","Pilosocereus lanuginosus"
"449","Pipeamal","Piperaceae","Piper","amalago","shrub","Piper amalago","Piper amalago","Piper amalago"
"450","Pipearbo","Piperaceae","Piper","arboreum","shrub","Piper arboreum","Piper arboreum","Piper arboreum"
"451","Pipesp6","Piperaceae","Piper","sp6","treelet","Piper sp6","Piper sp","Piper"
"452","Piptdisc","Asteraceae","Piptocoma","discolor","tree","Piptocoma discolor","Piptocoma discolor","Piptocoma discolor"
"453","Piptflav","Fabaceae","Piptadenia","flava","treelet","Piptadenia flava","Piptadenia flava","Piptadenia flava"
"454","Piptsp","Fabaceae","Piptadenia","sp","tree","Piptadenia sp","Piptadenia sp","Piptadenia"
"455","Pisoacul","Nyctaginaceae","Pisonia","aculeata","liana","Pisonia aculeata","Pisonia aculeata","Pisonia aculeata"
"456","Pithdulc","Fabaceae","Pithecellobium","dulce","tree","Pithecellobium dulce","Pithecellobium dulce","Pithecellobium dulce"
"457","Pithlanc","Fabaceae","Pithecellobium","lanceolatum","tree","Pithecellobium lanceolatum","Pithecellobium lanceolatum","Pithecellobium lanceolatum"
"458","Pithrose","Fabaceae","Pithecellobium","roseum","tree","Pithecellobium roseum","Pithecellobium roseum","Pithecellobium roseum"
"459","Pithsp2","Fabaceae","Pithecellobium","sp2","treelet","Pithecellobium sp2","Pithecellobium sp","Pithecellobium"
"460","Pitttric","Rubiaceae","Pittoniotis","trichantha","tree","Pittoniotis trichantha","Pittoniotis trichantha","Pittoniotis trichantha"
"461","Platpinn","Fabaceae","Platymiscium","pinnatum","tree","Platymiscium pinnatum","Platymiscium pinnatum","Platymiscium pinnatum"
"462","Plumpudi","Apocynaceae","Plumeria","pudica","tree","Plumeria pudica","Plumeria pudica","Plumeria pudica"
"463","Poutplic","Sapotaceae","Pouteria","plicata","tree","Pouteria plicata","Pouteria plicata","Pouteria plicata"
"464","Poutsp1","Sapotaceae","Pouteria","sp1","tree","Pouteria sp1","Pouteria sp","Pouteria"
"465","Poutsp3","Sapotaceae","Pouteria","sp3","tree","Pouteria sp3","Pouteria sp","Pouteria"
"466","Poutsp4","Sapotaceae","Pouteria","sp4","tree","Pouteria sp4","Pouteria sp","Pouteria"
