"","Original","Adjusted","VSpNm","genus","family","life_form","code","txresol","life_form_w","threat_st"
"223","Capparis aff amplissima","Capparis amplissima","Capparis amplissima","Capparis","Capparaceae",NA,"Cappampli","species","tree",NA
"224","Capparis aff. amplissima","Capparis amplissima","Capparis amplissima","Capparis","Capparaceae",NA,"Cappampli","species","tree",NA
"225","Capparis amplissima","Capparis amplissima","Capparis amplissima","Capparis","Capparaceae",NA,"Cappampli","species","tree",NA
"226","Capparis baduca","Capparis baduca","Capparis baduca","Capparis","Capparaceae",NA,"Cappbaduc","species",NA,NA
"227","Capparis flexuosa","Capparis flexuosa","Capparis flexuosa","Capparis","Capparaceae",NA,"Cappflexu","species","treelet",NA
"228","Capparis frondosa","Capparis frondosa","Capparis frondosa","Capparis","Capparaceae",NA,"Cappfrond","species","tree",NA
"229","Capparis hastata","Capparis hastata","Capparis hastata","Capparis","Capparaceae",NA,"Capphasta","species","treelet",NA
"230","Capparis indica","Capparis indica","Capparis indica","Capparis","Capparaceae",NA,"Cappindic","species",NA,NA
"231","Capparis linearis","Capparis linearis","Capparis linearis","Capparis","Capparaceae",NA,"Capplinea","species",NA,NA
"232","Capparis odorata","Capparis odorata","Capparis odorata","Capparis","Capparaceae",NA,"Cappodora2","species",NA,NA
"233","Capparis odoratisima","Capparis odoratissima","Capparis odoratissima","Capparis","Capparaceae",NA,"Cappodora","species",NA,NA
"234","Capparis odoratissima","Capparis odoratissima","Capparis odoratissima","Capparis","Capparaceae",NA,"Cappodora","species",NA,NA
"235","Capparis pachaca","Capparis pachaca","Capparis pachaca","Capparis","Capparaceae",NA,"Capppacha","species",NA,NA
"236","Capparis pochota","Capparis pochota","Capparis","Capparis","Capparaceae","tree","Cappsp","genus","tree",NA
"237","Capparis sp","Capparis sp","Capparis","Capparis","Capparaceae","tree","Cappsp","genus","tree",NA
"238","Capparis verrucosa","Capparis verrucosa","Capparis verrucosa","Capparis","Capparaceae",NA,"Cappverru","species",NA,NA
"239","Caraipa llanorum","Caraipa llanorum","Caraipa llanorum","Caraipa",NA,NA,"Carallano","species","tree",NA
"240","Carica papaya","Carica papaya","Carica papaya","Carica",NA,NA,"Caripapay","species","tree",NA
"241","Carludovica palmata","Carludovica palmata","Carludovica palmata","Carludovica",NA,NA,"Carlpalma","species","forb",NA
"242","Carludovica plamata","Carludovica palmata","Carludovica palmata","Carludovica",NA,NA,"Carlpalma","species","forb",NA
"243","Cas sp","Indeterminado",NA,NA,NA,"tree","NN","species","tree",NA
"244","Cascabela thevetia","Cascabela thevetia","Cascabela thevetia","Cascabela",NA,NA,"Casctheve","species",NA,NA
"245","Casearia aculeata","Casearia aculeata","Casearia aculeata","Casearia","Salicaceae","tree","Caseacul","species","tree",NA
"246","Casearia arborea","Casearia arborea","Casearia arborea","Casearia","Salicaceae",NA,"Casearbor","species","tree",NA
"247","Casearia cf guianensis","Casearia guianensis","Casearia guianensis","Casearia","Salicaceae",NA,"Caseguian","species","tree",NA
"248","Casearia cgrimbosa","Casearia grimbosa","Casearia","Casearia","Salicaceae","tree","Casesp","genus","tree",NA
"249","Casearia corymbosa","Casearia corymbosa","Casearia corymbosa","Casearia","Salicaceae","tree","Casecory","species","tree",NA
"250","Casearia javitensis","Casearia javitensis","Casearia javitensis","Casearia","Salicaceae",NA,"Casejavit","species","tree",NA
"251","Casearia praecox","Casearia praecox","Casearia praecox","Casearia","Salicaceae","tree","Caseprae","species","tree",NA
"252","Casearia silvestris","Casearia sylvestris","Casearia sylvestris","Casearia","Salicaceae","tree","Casesylv","species","tree",NA
"253","Casearia sp","Casearia sp","Casearia","Casearia","Salicaceae","tree","Casesp","genus","tree",NA
"254","Casearia syl","Casearia sylvestris","Casearia sylvestris","Casearia","Salicaceae","tree","Casesylv","species","tree",NA
"255","Casearia sylvestris","Casearia sylvestris","Casearia sylvestris","Casearia","Salicaceae","tree","Casesylv","species","tree",NA
"256","Casearia ulmif","Casearia ulmif","Casearia","Casearia","Salicaceae","tree","Casesp","genus","tree",NA
"257","Caseria corymbosa","Casearia corymbosa","Casearia corymbosa","Casearia","Salicaceae","tree","Casecory","species","tree",NA
"258","Cassia fistula","Cassia fistula","Cassia fistula","Cassia","Fabaceae",NA,"Cassfistu","species","tree",NA
"259","Cassia grandis","Cassia grandis","Cassia grandis","Cassia","Fabaceae",NA,"Cassgrand","species","tree",NA
"260","Cassia moscha","Cassia moscha","Cassia moschata","Cassia","Fabaceae",NA,"Cassmosch","species","tree",NA
"261","Cassia moschata","Cassia moschata","Cassia moschata","Cassia","Fabaceae",NA,"Cassmosch","species","tree",NA
"262","Cassia sp","Cassia sp","Cassia","Cassia","Fabaceae","tree","Casssp","genus","tree",NA
"263","Castela erecta","Castela erecta","Castela erecta","Castela",NA,NA,"Casterect","species",NA,NA
"264","Causalpinia sp","Caesalpinia sp","Caesalpinia","Caesalpinia","Fabaceae","tree","Caessp","genus","tree",NA
"265","Cavanillesia chicamochae","Cavanillesia chicamochae","Cavanillesia chicamochae","Cavanillesia","Malvaceae",NA,"Cavachica","species",NA,NA
"266","Cavanillesia platanifolia","Cavanillesia platanifolia","Cavanillesia platanifolia","Cavanillesia","Malvaceae","tree","Cavaplat","species","tree",NA
"267","Cecr sp","Cecropia sp","Cecropia","Cecropia","Urticaceae",NA,"Cecrsp","genus",NA,NA
"268","Cecropia angustifolia","Cecropia angustifolia","Cecropia angustifolia","Cecropia","Urticaceae",NA,"Cecrangus","species",NA,NA
"269","Cecropia cf angustifolia","Cecropia angustifolia","Cecropia angustifolia","Cecropia","Urticaceae",NA,"Cecrangus","species",NA,NA
"270","Cecropia cf mutisiana","Cecropia mutisiana","Cecropia mutisiana","Cecropia","Urticaceae",NA,"Cecrmutis","species",NA,NA
"271","Cecropia cf peltata","Cecropia peltata","Cecropia peltata","Cecropia","Urticaceae","tree","Cecrpelt","species","tree",NA
"272","Cecropia engleriana","Cecropia engleriana","Cecropia engleriana","Cecropia","Urticaceae",NA,"Cecrengle","species","tree",NA
"273","Cecropia longipes","Cecropia longipes","Cecropia longipes","Cecropia","Urticaceae",NA,"Cecrlongi","species",NA,NA
"274","Cecropia peltata","Cecropia peltata","Cecropia peltata","Cecropia","Urticaceae","tree","Cecrpelt","species","tree",NA
"275","Cecropia sp","Cecropia sp","Cecropia","Cecropia","Urticaceae",NA,"Cecrsp","genus",NA,NA
"276","Cedrela odorata","Cedrela odorata","Cedrela odorata","Cedrela","Meliaceae","tree","Cedrodor","species","tree","VU"
"277","Cedrela sp","Cedrela sp","Cedrela","Cedrela","Meliaceae",NA,"Cedrsp","genus",NA,NA
"278","Ceiba penta","Ceiba pentandra","Ceiba pentandra","Ceiba","Malvaceae","tree","Ceibpent","species","tree",NA
"279","Ceiba pentandr","Ceiba pentandra","Ceiba pentandra","Ceiba","Malvaceae","tree","Ceibpent","species","tree",NA
"280","Ceiba pentandra","Ceiba pentandra","Ceiba pentandra","Ceiba","Malvaceae","tree","Ceibpent","species","tree",NA
"281","Ceiba pentrandra","Ceiba pentandra","Ceiba pentandra","Ceiba","Malvaceae","tree","Ceibpent","species","tree",NA
"282","Ceiba petandra","Ceiba pentandra","Ceiba pentandra","Ceiba","Malvaceae","tree","Ceibpent","species","tree",NA
"283","Ceiba sp","Ceiba sp","Ceiba","Ceiba","Malvaceae",NA,"Ceibsp","genus",NA,NA
"284","Celtis iguanaea","Celtis iguanaea","Celtis iguanaea","Celtis","Cannabaceae","liana","Celtigua","species","liana",NA
"285","Centrolobium paraense","Centrolobium paraense","Centrolobium paraense","Centrolobium",NA,NA,"Centparae","species","tree","EN"
"286","Cereus hexagonus","Cereus hexagonus","Cereus hexagonus","Cereus","Cactaceae","cactus","Cerehexa","species","cactus",NA
"287","Cesalpinia coriaria","Caesalpinia coriaria","Caesalpinia coriaria","Caesalpinia","Fabaceae","treelet","Caescori","species","treelet",NA
"288","Cesalpinia ebano","Caesalpinia ebano","Caesalpinia ebano","Caesalpinia","Fabaceae","tree","Caeseban","species","tree",NA
"289","Cespedesia spathulata","Cespedesia spathulata","Cespedesia spathulata","Cespedesia",NA,NA,"Cespspath","species","tree",NA
"290","Cestrum alternifolium","Cestrum alternifolium","Cestrum alternifolium","Cestrum","Solanaceae",NA,"Cestalter","species",NA,NA
"291","Cestrum mariquitense","Cestrum mariquitense","Cestrum mariquitense","Cestrum","Solanaceae",NA,"Cestmariq","species","treelet",NA
"292","Chamaedorea linearis","Chamaedorea linearis","Chamaedorea linearis","Chamaedorea",NA,NA,"Chamlinea","species",NA,NA
"293","Chichatoy sp","Indeterminado",NA,NA,NA,"tree","NN","species","tree",NA
"294","Chiococca alba","Chiococca alba","Chiococca alba","Chiococca","Rubiaceae","shrub","Chioalba","species","shrub",NA
"295","Chloroleucon magense","Chloroleucon mangense","Chloroleucon mangense","Chloroleucon","Fabaceae","tree","Chlomang","species","tree",NA
"296","Chloroleucon mangense","Chloroleucon mangense","Chloroleucon mangense","Chloroleucon","Fabaceae","tree","Chlomang","species","tree",NA
"297","Chomelia spinosa","Chomelia spinosa","Chomelia spinosa","Chomelia","Rubiaceae","treelet","Chomspin","species","treelet",NA
"298","Chromolena laevigata","Chromolena laevigata","Chromolaena laevigata","Chromolaena","Asteraceae",NA,"Chrolaevi","species","treelet",NA
"299","Chrysophy sp","Chrysophyllum sp","Chrysophyllum","Chrysophyllum","Sapotaceae",NA,"Chrysp","genus",NA,NA
"300","Chrysophyllum sp","Chrysophyllum sp","Chrysophyllum","Chrysophyllum","Sapotaceae",NA,"Chrysp","genus",NA,NA
"301","Chychatoy sp","Indeterminado",NA,NA,NA,"tree","NN","species","tree",NA
"302","Cinnamomum triplinerve","Cinnamomum triplinerve","Cinnamomum triplinerve","Cinnamomum",NA,NA,"Cinntripl","species","tree","LC"
"303","Cintharexylum kunthianum","Citharexylum kunthianum","Citharexylum kunthianum","Citharexylum","Verbenaceae","treelet","Cithkunt","species","treelet",NA
"304","Citharexylum kunthianum","Citharexylum kunthianum","Citharexylum kunthianum","Citharexylum","Verbenaceae","treelet","Cithkunt","species","treelet",NA
"305","Citharexylum kuntranus","Citharexylum kunthianum","Citharexylum kunthianum","Citharexylum","Verbenaceae","treelet","Cithkunt","species","treelet",NA
"306","Citharexylum sp","Citharexylum sp","Citharexylum","Citharexylum","Verbenaceae",NA,"Cithsp","genus",NA,NA
"307","Citrus limon","Citrus limon","Citrus limon","Citrus",NA,NA,"Citrlimon","species","tree",NA
"308","Clatrhotropis brachypetala","Clathrotropis brachypetala","Clathrotropis brachypetala","Clathrotropis","Fabaceae",NA,"Clatbrach","species",NA,NA
"309","Cleome sp","Cleome sp","Cleome","Cleome",NA,NA,"Cleosp","genus",NA,NA
"310","Cleome speciosa","Cleome speciosa","Cleome speciosa","Cleome",NA,NA,"Cleospeci","species",NA,NA
"311","Clidemia capitellata","Clidemia capitellata","Clidemia capitellata","Clidemia",NA,NA,"Clidcapit","species","treelet",NA
"312","Clitoria dendrina","Clitoria dendrina","Clitoria dendrina","Clitoria","Fabaceae","shrub","Clitdend","species","shrub",NA
"313","Clitoria hermannii","Clitoria hermannii","Clitoria hermannii","Clitoria","Fabaceae",NA,"Clitherma","species",NA,NA
"314","Clorophora sp","Chlorophora sp","Chlorophora","Chlorophora",NA,NA,"Chlosp","genus",NA,NA
"315","Clusia alata","Clusia alata","Clusia alata","Clusia","Clusiaceae",NA,"Clusalata","species",NA,NA
"316","Clusia alata ","Clusia alata","Clusia alata","Clusia","Clusiaceae",NA,"Clusalata","species",NA,NA
"317","Clusia cf latipes","Clusia latipes","Clusia latipes","Clusia","Clusiaceae",NA,"Cluslatip","species",NA,NA
"318","Clusia grandiflora","Clusia grandiflora","Clusia grandiflora","Clusia","Clusiaceae","tree","Clusgran","species","tree",NA
"319","Clusia latipes","Clusia latipes","Clusia latipes","Clusia","Clusiaceae",NA,"Cluslatip","species",NA,NA
"320","Clusia minor","Clusia minor","Clusia minor","Clusia","Clusiaceae",NA,"Clusminor","species","tree",NA
"321","Clusia multiflora","Clusia multiflora","Clusia multiflora","Clusia","Clusiaceae",NA,"Clusmulti","species",NA,NA
"322","Clusia sp","Clusia sp","Clusia","Clusia","Clusiaceae","tree","Clusumbe","genus","tree",NA
"323","Cnidoscolus aconitifolius","Cnidoscolus aconitifolius","Cnidoscolus aconitifolius","Cnidoscolus",NA,NA,"Cnidaconi","species",NA,NA
"324","Cnidoscolus jaenensis","Cnidoscolus jaenensis","Cnidoscolus jaenensis","Cnidoscolus",NA,NA,"Cnidjaene","species",NA,NA
"325","Cnidoscolus tubulosus","Cnidoscolus tubulosus","Cnidoscolus tubulosus","Cnidoscolus",NA,NA,"Cnidtubul","species",NA,NA
"326","Cnidoscolus urens","Cnidoscolus urens","Cnidoscolus urens","Cnidoscolus",NA,NA,"Cnidurens","species","treelet",NA
"327","Coccoloba acuminata","Coccoloba acuminata","Coccoloba acuminata","Coccoloba","Polygonaceae","treelet","Coccacum","species","treelet",NA
"328","Coccoloba caracasana","Coccoloba caracasana","Coccoloba caracasana","Coccoloba","Polygonaceae","tree","Cocccara","species","tree",NA
"329","Coccoloba coronata","Coccoloba coronata","Coccoloba coronata","Coccoloba","Polygonaceae",NA,"Cocccoron","species","tree",NA
"330","Coccoloba dugandiana","Coccoloba dugandiana","Coccoloba dugandiana","Coccoloba","Polygonaceae",NA,"Coccdugan","species",NA,NA
"331","Coccoloba obovata","Coccoloba obovata","Coccoloba obovata","Coccoloba","Polygonaceae","tree","Coccobov","species","tree",NA
"332","Coccoloba obtusifolia","Coccoloba obtusifolia","Coccoloba obtusifolia","Coccoloba","Polygonaceae","tree","Coccobtu","species","tree",NA
"333","Coccoloba padiformis","Coccoloba padiformis","Coccoloba padiformis","Coccoloba","Polygonaceae","tree","Coccpadi","species","tree",NA
"334","Coccoloba sp","Coccoloba sp","Coccoloba","Coccoloba","Polygonaceae","tree","Coccsp","genus","tree",NA
"335","Cochlospermum orinocense","Cochlospermum orinocense","Cochlospermum orinocense","Cochlospermum","Bixaceae","tree","Cochorin","species","tree",NA
"336","Cochlospermum vitfolium","Cochlospermum vitifolium","Cochlospermum vitifolium","Cochlospermum","Bixaceae",NA,"Cochvitif","species","tree",NA
"337","Cochlospermum vitifolium","Cochlospermum vitifolium","Cochlospermum vitifolium","Cochlospermum","Bixaceae",NA,"Cochvitif","species","tree",NA
"338","Coclhospermum vitifolium","Cochlospermum vitifolium","Cochlospermum vitifolium","Cochlospermum","Bixaceae",NA,"Cochvitif","species","tree",NA
"339","Cocus nucifera","Cocos nucifera","Cocos nucifera","Cocos",NA,NA,"Coconucif","species","palm",NA
"340","Combretacea sp","Combretaceae","Combretaceae","Combretaceae",NA,NA,"Combfm","family",NA,NA
"341","Combretum fruticosum","Combretum fruticosum","Combretum fruticosum","Combretum","Combretaceae","liana","Combfrut","species","liana",NA
"342","Commiphora leptophloeos","Commiphora leptophloeos","Commiphora leptophloeos","Commiphora",NA,NA,"Commlepto","species","tree",NA
"343","Connarus venezuelanus","Connarus venezuelanus","Connarus venezuelanus","Connarus","Connaraceae","tree","Connvene","species","tree",NA
"344","Copai sp","Copaifera sp","Copaifera","Copaifera",NA,NA,"Copasp","genus",NA,NA
"345","Copaifera pubiflora","Copaifera pubiflora","Copaifera pubiflora","Copaifera",NA,NA,"Copapubif","species","tree",NA
"346","Copaifera sp","Copaifera sp","Copaifera","Copaifera",NA,NA,"Copasp","genus",NA,NA
"347","Copernicia tectorum","Copernicia tectorum","Copernicia tectorum","Copernicia",NA,NA,"Copetecto","species",NA,NA
"348","Cord sp","Cordia sp","Cordia","Cordia","Boraginaceae","tree","Cordsp","genus","tree",NA
"349","Cordia alliodora","Cordia alliodora","Cordia alliodora","Cordia","Boraginaceae","tree","Cordalli","species","tree",NA
"350","Cordia ap","Cordia ap","Cordia","Cordia","Boraginaceae","tree","Cordsp","genus","tree",NA
"351","Cordia bicolor","Cordia bicolor","Cordia bicolor","Cordia","Boraginaceae","tree","Cordbico","species","tree",NA
"352","Cordia cf thaisiana","Cordia thaisiana","Cordia thaisiana","Cordia","Boraginaceae",NA,"Cordthais","species",NA,NA
"353","Cordia colloccoca","Cordia collococa","Cordia collococa","Cordia","Boraginaceae",NA,"Cordcollo","species","tree",NA
"354","Cordia collococa","Cordia collococa","Cordia collococa","Cordia","Boraginaceae",NA,"Cordcollo","species","tree",NA
"355","Cordia curassavic","Cordia curassavica","Cordia curassavica","Cordia","Boraginaceae",NA,"Cordcuras","species","treelet",NA
"356","Cordia curassavica","Cordia curassavica","Cordia curassavica","Cordia","Boraginaceae",NA,"Cordcuras","species","treelet",NA
"357","Cordia dentata","Cordia dentata","Cordia dentata","Cordia","Boraginaceae",NA,"Corddenta","species",NA,NA
"358","Cordia discolor","Cordia discolor","Cordia discolor","Cordia","Boraginaceae",NA,"Corddisco","species","treelet",NA
"359","Cordia gerasantus","Cordia gerascanthus","Cordia gerascanthus","Cordia","Boraginaceae","tree","Cordgera","species","tree",NA
"360","Cordia gerascanthus","Cordia gerascanthus","Cordia gerascanthus","Cordia","Boraginaceae","tree","Cordgera","species","tree",NA
"361","Cordia lanceolata","Cordia lanceolata","Cordia lanceolata","Cordia","Boraginaceae",NA,"Cordlance","species",NA,NA
"362","Cordia macuirensis","Cordia macuirensis","Cordia macuirensis","Cordia","Boraginaceae","tree","Cordmacu","species","tree",NA
"363","Cordia panamensis","Cordia panamensis","Cordia panamensis","Cordia","Boraginaceae","tree","Cordpana","species","tree",NA
"364","Cordia sp","Cordia sp","Cordia","Cordia","Boraginaceae","tree","Cordsp","genus","tree",NA
"365","Cordia tetrandra","Cordia tetrandra","Cordia tetrandra","Cordia","Boraginaceae",NA,"Cordtetra","species","tree",NA
"366","Cordia thaisiana","Cordia thaisiana","Cordia thaisiana","Cordia","Boraginaceae",NA,"Cordthais","species",NA,NA
"367","Cordial alliodora","Cordial alliodora","Cordia alliodora","Cordia","Boraginaceae","tree","Cordalli","species","tree",NA
"368","Cordial sp","Cordia sp","Cordia","Cordia","Boraginaceae","tree","Cordsp","genus","tree",NA
"369","Coussarea sp","Coussarea sp","Coussarea","Coussarea","Rubiaceae",NA,"Coussp","genus",NA,NA
"370","Coutarea hexandra","Coutarea hexandra","Coutarea hexandra","Coutarea","Rubiaceae","treelet","Couthexa","species","treelet",NA
"371","Crateva tap","Crateva tapia","Crateva tapia","Crateva","Capparaceae","treelet","Crattapi","species","treelet",NA
"372","Crateva tapia","Crateva tapia","Crateva tapia","Crateva","Capparaceae","treelet","Crattapi","species","treelet",NA
"373","Crescentia cujete","Crescentia cujete","Crescentia cujete","Crescentia",NA,NA,"Crescujet","species","tree",NA
"374","Cro sp","Croton sp","Croton","Croton","Euphorbiaceae","tree","Crotsp","genus","tree",NA
"375","Croten sp","Croton sp","Croton","Croton","Euphorbiaceae","tree","Crotsp","genus","tree",NA
"376","Crotin sp","Croton sp","Croton","Croton","Euphorbiaceae","tree","Crotsp","genus","tree",NA
"377","Croton aff megalodendron","Croton megalodendron","Croton megalodendron","Croton","Euphorbiaceae","tree","Crotmega","species","tree",NA
"378","Croton argenteus","Croton argenteus","Croton argenteus","Croton","Euphorbiaceae",NA,"Crotargen","species","shrub",NA
"379","Croton ferrugineus","Croton ferrugineus","Croton ferrugineus","Croton","Euphorbiaceae",NA,"Crotferru","species","treelet",NA
"380","Croton gossypiifolius","Croton gossypiifolius","Croton gossypiifolius","Croton","Euphorbiaceae","tree","Crotgoss","species","tree",NA
"381","Croton hibiscifolius","Croton hibiscifolius","Croton hibiscifolius","Croton","Euphorbiaceae",NA,"Crothibis","species",NA,NA
"382","Croton lechleri","Croton lechleri","Croton lechleri","Croton","Euphorbiaceae",NA,"Crotlechl","species","tree",NA
"383","Croton leptostachyus","Croton leptostachyus","Croton leptostachyus","Croton","Euphorbiaceae",NA,"Crotlepto","species",NA,NA
"384","Croton malambo","Croton malambo","Croton malambo","Croton","Euphorbiaceae",NA,"Crotmalam","species",NA,NA
"385","Croton niveus","Croton niveus","Croton niveus","Croton","Euphorbiaceae","tree","Crotnive","species","tree",NA
"386","Croton punctatus","Croton punctatus","Croton punctatus","Croton","Euphorbiaceae","shrub","Crotpunc","species","shrub",NA
"387","Croton schiedeanus","Croton schiedeanus","Croton schiedeanus","Croton","Euphorbiaceae","treelet","Crotschi","species","treelet",NA
"388","Croton so","Croton sp","Croton","Croton","Euphorbiaceae","tree","Crotsp","genus","tree",NA
"389","Croton sp","Croton sp","Croton","Croton","Euphorbiaceae","tree","Crotsp","genus","tree",NA
"390","Crudia glaberrima","Crudia glaberrima","Crudia glaberrima","Crudia",NA,NA,"Crudglabe","species","tree",NA
"391","Cuji sp","Prosopis juliflora","Prosopis juliflora","Prosopis","Fabaceae","treelet","Prosjuli","species","treelet",NA
"392","Cupania americana","Cupania americana","Cupania americana","Cupania","Sapindaceae","tree","Cupaamer","species","tree",NA
"393","Cupania cinerea","Cupania cinerea","Cupania cinerea","Cupania","Sapindaceae","tree","Cupacine","species","tree",NA
"394","Cupania sp","Cupania sp","Cupania","Cupania","Sapindaceae","tree","Cupasp","genus","tree",NA
"395","Curatella amaricana","Curatella americana","Curatella americana","Curatella",NA,NA,"Curaameri","species","tree",NA
"396","Curatella americana","Curatella americana","Curatella americana","Curatella",NA,NA,"Curaameri","species","tree",NA
"397","Cyathea sp","Cyathea sp","Cyathea","Cyathea",NA,NA,"Cyatsp","genus",NA,NA
"398","Cynometra bauhiinifolia","Cynometra bauhiinifolia","Cynometra bauhiniifolia","Cynometra",NA,NA,"Cynobauhi","species","tree",NA
"399","Cyrtocarpa velutinifolia","Cyrtocarpa velutinifolia","Cyrtocarpa velutinifolia","Cyrtocarpa",NA,NA,"Cyrtvelut","species","tree",NA
"400","Cytarexylum poeppigii","Citharexylum poeppigii","Citharexylum poeppigii","Citharexylum","Verbenaceae",NA,"Cithpoepp","species","tree",NA
"401","Cytharexyllum kunthianum","Citharexylum kunthianum","Citharexylum kunthianum","Citharexylum","Verbenaceae","treelet","Cithkunt","species","treelet",NA
"402","Cytharexylum poeppigii","Citharexylum poeppigii","Citharexylum poeppigii","Citharexylum","Verbenaceae",NA,"Cithpoepp","species","tree",NA
"403","Cythrarexyllum kunthianum","Citharexylum kunthianum","Citharexylum kunthianum","Citharexylum","Verbenaceae","treelet","Cithkunt","species","treelet",NA
"404","Dalbergia sp","Dalbergia sp","Dalbergia","Dalbergia",NA,NA,"Dalbsp","genus",NA,NA
"405","Davilla kun","Davilla kunthii","Davilla kunthii","Davilla",NA,NA,"Davikunth","species","liana","LC"
"406","Dendropanax cf arboreus","Dendropanax arboreus","Dendropanax arboreus","Dendropanax","Araliaceae","tree","Dendarbo","species","tree",NA
"407","Dendropanax sp","Dendropanax sp","Dendropanax","Dendropanax","Araliaceae",NA,"Dendsp","genus",NA,NA
"408","Desmodium purpusii","Desmodium purpusii","Desmodium purpusii","Desmodium",NA,NA,"Desmpurpu","species",NA,NA
"409","Desmoncus orthacanthos","Desmoncus orthacanthos","Desmoncus orthacanthos","Desmoncus",NA,NA,"Desmortha","species","liana",NA
"410","Dilleniaceae sp","Dilleniaceae","Dilleniaceae","Dilleniaceae",NA,NA,"Dillfm","family",NA,NA
"411","Dilodendron elengans","Dilodendron elengans","Dilodendron elegans","Dilodendron","Sapindaceae","tree","Diloeleg","species","tree",NA
"412","Dioclea guianensis","Dioclea guianensis","Dioclea guianensis","Dioclea","Fabaceae",NA,"Diocguian","species","liana",NA
"413","Dioclea sericea","Dioclea sericea","Dioclea sericea","Dioclea","Fabaceae",NA,"Diocseric","species",NA,NA
"414","Dioclea sp","Dioclea sp","Dioclea","Dioclea","Fabaceae","liana","Diocsp","genus","liana",NA
"415","Diomate sp","Astronium graveolens","Astronium graveolens","Astronium","Anacardiaceae","tree","Astrgrav","species","tree","LC"
"416","Dioscorea alata","Dioscorea alata","Dioscorea alata","Dioscorea",NA,NA,"Diosalata","species","liana",NA
"417","Diospyros cerisea","Diospyros cerisea ","Diospyros","Diospyros","Ebenaceae","tree","Diossp","genus","tree",NA
"418","Diospyros cerisea ","Diospyros cerisea ","Diospyros","Diospyros","Ebenaceae","tree","Diossp","genus","tree",NA
"419","Diphysa carthagenensis","Diphysa carthagenensis","Diphysa carthagenensis","Diphysa",NA,NA,"Diphcarth","species",NA,NA
"420","Dipteryx odorata","Dipteryx odorata","Dipteryx odorata","Dipteryx",NA,NA,"Diptodora","species","tree",NA
"421","Diteryx odorata","Dipteryx odorata","Dipteryx odorata","Dipteryx",NA,NA,"Diptodora","species","tree",NA
"422","Dodonaea viscosa","Dodonaea viscosa","Dodonaea viscosa","Dodonaea",NA,NA,"Dodovisco","species","tree",NA
"423","Duguetia cf riberensis","Duguetia riberensis","Duguetia riberensis","Duguetia","Annonaceae",NA,"Duguriber","species",NA,NA
"424","Duguetia odorata","Duguetia odorata","Duguetia odorata","Duguetia","Annonaceae","tree","Duguodor","species","tree",NA
"425","Dyphisa carthagenensis","Diphysa carthagenensis","Diphysa carthagenensis","Diphysa",NA,NA,"Diphcarth","species",NA,NA
"426","Elaeis guineensis","Elaeis guineensis","Elaeis guineensis","Elaeis",NA,NA,"Elaeguine","species","palm",NA
"427","Elaeis guineensis cultivada","Elaeis guineensis","Elaeis guineensis","Elaeis",NA,NA,"Elaeguine","species","palm",NA
"428","Elaeis oleifera","Elaeis oleifera","Elaeis oleifera","Elaeis",NA,NA,"Elaeoleif","species","palm",NA
"429","Entada polystachia","Entada polystachia","Entada polystachya","Entada",NA,NA,"Entapolys","species",NA,NA
"430","Enter sp","Enterolobium sp","Enterolobium","Enterolobium","Fabaceae","tree","Entesp","genus","tree",NA
"431","Enterbium sp","Enterolobium sp","Enterolobium","Enterolobium","Fabaceae","tree","Entesp","genus","tree",NA
"432","Enterdobium sp","Enterolobium sp","Enterolobium","Enterolobium","Fabaceae","tree","Entesp","genus","tree",NA
"433","Enterolobi sp","Enterolobium sp","Enterolobium","Enterolobium","Fabaceae","tree","Entesp","genus","tree",NA
"434","Enterolobium barinense","Enterolobium barinense","Enterolobium barinense","Enterolobium","Fabaceae",NA,"Entebarin","species",NA,NA
"435","Enterolobium cf tim","Enterolobium timbouva","Enterolobium timbouva","Enterolobium","Fabaceae",NA,"Entetimbo","species","tree",NA
"436","Enterolobium cf timbouva","Enterolobium timbouva","Enterolobium timbouva","Enterolobium","Fabaceae",NA,"Entetimbo","species","tree",NA
"437","Enterolobium cyclocarpum","Enterolobium cyclocarpum","Enterolobium cyclocarpum","Enterolobium","Fabaceae","tree","Entecycl","species","tree",NA
"438","Enterolobium schom","Enterolobium schomburgkii","Enterolobium schomburgkii","Enterolobium","Fabaceae","tree","Entescho","species","tree",NA
"439","Enterolobium schomburgkii","Enterolobium schomburgkii","Enterolobium schomburgkii","Enterolobium","Fabaceae","tree","Entescho","species","tree",NA
"440","Enterolobium sp","Enterolobium sp","Enterolobium","Enterolobium","Fabaceae","tree","Entesp","genus","tree",NA
"441","Enterolobium timbouva","Enterolobium timbouva","Enterolobium timbouva","Enterolobium","Fabaceae",NA,"Entetimbo","species","tree",NA
"442","Eris sp","Erisma sp","Erisma","Erisma",NA,NA,"Erissp","genus",NA,NA
"443","Erisma cf uncinatum","Erisma uncinatum","Erisma uncinatum","Erisma",NA,NA,"Erisuncin","species","tree",NA
"444","Erisma sp","Erisma sp","Erisma","Erisma",NA,NA,"Erissp","genus",NA,NA
"445","Erithrira sp","Erythrina sp","Erythrina","Erythrina","Fabaceae",NA,"Erytsp","genus",NA,NA
"446","Erythina poeppigiana","Erythrina poeppigiana","Erythrina poeppigiana","Erythrina","Fabaceae","tree","Erytpoep","species","tree",NA
"447","Erythrina fusca","Erythrina fusca","Erythrina fusca","Erythrina","Fabaceae",NA,"Erytfusca","species","tree",NA
